IF,CEP,CEP_numeros,UF,Município,latitude,longitude,Instituicao
CAMPUS MACAU,"Macau, RN. CEP: 59500-000.",59500000,RN,Macau,-5.10795,-36.6318,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE"
CAMPUS MOSSORÓ,"Mossoró, RN. CEP: 59628-330.",59628330,RN,Mossoró,-5.18374,-37.3474,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE"
CAMPUS NATAL CENTRAL  DO RIO GRANDE DO NORTE,"Natal, RN. CEP: 59015-000.",59015000,RN,Natal,-5.79357,-35.1986,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE"
CAMPUS NATAL CIDADE ALTA,"Natal, RN. CEP: 59025-003.",59025003,RN,Natal,-5.79357,-35.1986,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE"
CAMPUS NATAL - ZONA NORTE,"Natal, RN. CEP: 59112-450.",59112450,RN,Natal,-5.79357,-35.1986,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE"
CAMPUS NOVA CRUZ,"Nova Cruz, RN. CEP: 59215-000.",59215000,RN,Nova Cruz,-6.47511,-35.4286,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE"
CAMPUS PARNAMIRIM,"Parnamirim, RN. CEP: 59143-455.",59143455,RN,Parnamirim,-5.91116,-35271,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE"
CAMPUS PAU DOS FERROS,"Pau dos Ferros, RN. CEP: 59900-000.",59900000,RN,Pau dos Ferros,-6.10498,-38.2077,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE"
CAMPUS SANTA CRUZ,"Santa Cruz, RN. CEP: 59200-000.",59200000,RN,Santa Cruz,-6.22475,-36.0193,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE"
CAMPUS SÃO GONÇALO DO AMARANTE,"São Gonçalo do Amarante, RN. CEP: 59290-000.",59290000,RN,São Gonçalo do Amarante,-5.79068,-35.3257,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE"
CAMPUS SÃO PAULO DO POTENGI,"São Paulo do Potengi, RN. CEP: 59460-000.",59460000,RN,São Paulo do Potengi,-5.8994,-35.7642,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE"
ESCOLA AGRÍCOLA DE JUNDIAÍ/UFRN,"Macaíba, RN. CEP: 59280-000.",59280000,RN,Macaíba,-5.85229,-35.3552,ESCOLA AGRÍCOLA DE JUNDIAÍ/UFRN
ESCOLA AGRÍCOLA DE JUNDIAÍ/UFRN,"Macaíba, RN. CEP: 59280-000.",59280000,RN,Macaíba,-5.85229,-35.3552,ESCOLA AGRÍCOLA DE JUNDIAÍ/UFRN
ESCOLA DE ENFERMAGEM/UFRN,"Natal, RN. CEP: 59078-970.",59078970,RN,Natal,-5.79357,-35.1986,ESCOLA DE ENFERMAGEM/UFRN
ESCOLA DE ENFERMAGEM/UFRN,"Natal, RN. CEP: 59078-970.",59078970,RN,Natal,-5.79357,-35.1986,ESCOLA DE ENFERMAGEM/UFRN
ESCOLA DE MÚSICA/UFRN,"Natal, RN. CEP: 59078-190.",59078190,RN,Natal,-5.79357,-35.1986,ESCOLA DE MÚSICA/UFRN
ESCOLA DE MÚSICA/UFRN,"Natal, RN. CEP: 59078-190.",59078190,RN,Natal,-5.79357,-35.1986,ESCOLA DE MÚSICA/UFRN
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE","Pelotas, RS. CEP: 96020-000.",96020000,RS,Pelotas,-31.7649,-52.3371,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE"
CAMPUS AVANÇADO JAGUARÃO,"Jaguarão, RS. CEP: 96300-000.",96300000,RS,Jaguarão,-32.5604,-53377,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE"
CAMPUS AVANÇADO NOVO HAMBURGO,"Novo Hamburgo, RS. CEP: 93544-030.",93544030,RS,Novo Hamburgo,-29.6875,-51.1328,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE"
CAMPUS BAGÉ,"Bagé, RS. CEP: 96418-400.",96418400,RS,Bagé,-31.3297,-54.0999,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE"
CAMPUS CAMAQUÃ,"Camaquã, RS. CEP: 96180-000.",96180000,RS,Camaquã,-30.8489,-51.8043,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE"
CAMPUS CHARQUEADAS,"Charqueadas, RS. CEP: 96745-000.",96745000,RS,Charqueadas,-29.9625,-51.6289,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE"
CAMPUS GRAVATAÍ,"Gravataí, RS. CEP: 94135-300.",94135300,RS,Gravataí,-29.9413,-50.9869,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE"
CAMPUS LAJEADO,"Lajeado, RS. CEP: 95900-000.",95900000,RS,Lajeado,-28983,-51.8396,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE"
CAMPUS PASSO FUNDO,"Passo Fundo, RS. CEP: 99064-440.",99064440,RS,Passo Fundo,-28.2576,-52.4091,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE"
CAMPUS PELOTAS,"Pelotas, RS. CEP: 96015-360.",96015360,RS,Pelotas,-31.7649,-52.3371,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE"
CAMPUS PELOTAS - VISCONDE DA GRAÇA,"Pelotas, RS. CEP: 96060-290.",96060290,RS,Pelotas,-31.7649,-52.3371,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE"
CAMPUS SANTANA DO LIVRAMENTO,"Santana do Livramento, RS. CEP: 97574-360.",97574360,RS,Sant'Ana do Livramento,-30.8773,-55.5392,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE"
CAMPUS SAPIRANGA,"Sapiranga, RS. CEP: 93800-000.",93800000,RS,Sapiranga,-29.6349,-51.0064,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE"
CAMPUS SAPUCAIA DO SUL,"Sapucaia do Sul, RS. CEP: 93216-120.",93216120,RS,Sapucaia do Sul,-29.8276,-51145,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE"
CAMPUS VENÂNCIO AIRES,"Venâncio Aires, RS. CEP: 95800-000.",95800000,RS,Venâncio Aires,-29.6143,-52.1932,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE"
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL","Bento Gonçalves, RS. CEP: 95700-000.",95700000,RS,Bento Gonçalves,-29.1662,-51.5165,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL"
CAMPUS ALVORADA,"Alvorada, RS. CEP: 94834-413.",94834413,RS,Alvorada,-29.9914,-51.0809,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL"
CAMPUS AVANÇADO VERANÓPOLIS,"Veranópolis, RS. CEP: 95330-000.",95330000,RS,Veranópolis,-28.9312,-51.5516,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL"
CAMPUS BENTO GONÇALVES,"Bento Gonçalves, RS. CEP: 95700-000.",95700000,RS,Bento Gonçalves,-29.1662,-51.5165,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL"
CAMPUS CANOAS,"Canoas, RS. CEP: 92412-240.",92412240,RS,Canoas,-29.9128,-51.1857,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL"
CAMPUS CAXIAS DO SUL,"Caxias do Sul, RS. CEP: 95043-700.",95043700,RS,Caxias do Sul,-29.1629,-51.1792,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL"
CAMPUS ERECHIM,"Erechim, RS. CEP: 99700-000.",99700000,RS,Erechim,-27.6364,-52.2697,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL"
CAMPUS FARROUPILHA,"Farroupilha, RS. CEP: 95180-000.",95180000,RS,Farroupilha,-29.2227,-51.3419,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL"
CAMPUS FELIZ,"Feliz, RS. CEP: 95770-000.",95770000,RS,Feliz,-29.3919,-51.3123,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL"
CAMPUS IBIRUBÁ,"Ibirubá, RS. CEP: 98200-000.",98200000,RS,Ibirubá,-28.6302,-53.0961,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL"
CAMPUS OSÓRIO,"Osório, RS. CEP: 95520-000.",95520000,RS,Osório,-29.8881,-50.2667,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL"
CAMPUS PORTO ALEGRE,"Porto Alegre, RS. CEP: 90030-040.",90030040,RS,Porto Alegre,-30.0318,-51.2065,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL"
CAMPUS PORTO ALEGRE RESTINGA,"Porto Alegre, RS. CEP: 91791-508.",91791508,RS,Porto Alegre,-30.0318,-51.2065,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL"
CAMPUS RIO GRANDE,"Rio Grande, RS. CEP: 96201-460.",96201460,RS,Rio Grande,-32.0349,-52.1071,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL"
CAMPUS ROLANTE,"Rolante, RS. CEP: 95690-000.",95690000,RS,Rolante,-29.6462,-50.5819,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL"
CAMPUS SERTÃO,"Sertão, RS. CEP: 99170-000.",99170000,RS,Sertão,-27.9798,-52.2588,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL"
CAMPUS VACARIA,"Vacaria, RS. CEP: 95200-000.",95200000,RS,Vacaria,-28.5079,-50.9418,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL"
CAMPUS VIAMÃO,"Viamão, RS. CEP: 94420-010.",94420010,RS,Viamão,-30.0819,-51.0194,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL"
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA","Santa Maria, RS. CEP: 97050-685.",97050685,RS,Santa Maria,-29.6868,-53.8149,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA"
CAMPUS ALEGRETE,"Alegrete, RS. CEP: 97541-970.",97541970,RS,Alegrete,-29.7902,-55.7949,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA"
CAMPUS AVANÇADO URUGUAIANA,"Uruguaiana, RS. CEP: 97503-748.",97503748,RS,Uruguaiana,-29.7614,-57.0853,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA"
CAMPUS JAGUARI,"Jaguari, RS. CEP: 97760-000.",97760000,RS,Jaguari,-29.4936,-54703,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA"
CAMPUS JÚLIO DE CASTILHOS,"Júlio de Castilhos, RS. CEP: 98130-000.",98130000,RS,Júlio de Castilhos,-29.2299,-53.6772,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA"
CAMPUS PANAMBI,"Panambi, RS. CEP: 98280-970.",98280970,RS,Panambi,-28.2833,-53.5023,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA"
CAMPUS SANTA ROSA,"Santa Rosa, RS. CEP: 98900-970.",98900970,RS,Santa Rosa,-27.8702,-54.4796,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA"
CAMPUS SANTO ÂNGELO,"Santo Ângelo, RS. CEP: 98801-690.",98801690,RS,Santo Ângelo,-28.3001,-54.2668,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA"
CAMPUS SANTO AUGUSTO,"Santo Augusto, RS. CEP: 98590-970.",98590970,RS,Santo Augusto,-27.8526,-53.7776,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA"
CAMPUS SÃO BORJA,"São Borja, RS. CEP: 97670-000.",97670000,RS,São Borja,-28.6578,-56.0036,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA"
CAMPUS SÃO VICENTE DO SUL,"São Vicente do Sul, RS. CEP: 97420-000.",97420000,RS,São Vicente do Sul,-29.6882,-54.6826,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA"
COLÉGIO TÉCNICO FREDERICO WESTPHALEN/UFSM,"Frederico Westphalen, RS. CEP: 98400-000.",98400000,RS,Frederico Westphalen,-27.3586,-53.3958,COLÉGIO TÉCNICO FREDERICO WESTPHALEN/UFSM
COLÉGIO TÉCNICO FREDERICO WESTPHALEN/UFSM,"Frederico Westphalen, RS. CEP: 98400-000.",98400000,RS,Frederico Westphalen,-27.3586,-53.3958,COLÉGIO TÉCNICO FREDERICO WESTPHALEN/UFSM
COLÉGIO POLITÉCNICO DE SANTA MARIA/UFSM,"Santa Maria, RS. CEP: 97105-900.",97105900,RS,Santa Maria,-29.6868,-53.8149,COLÉGIO POLITÉCNICO DE SANTA MARIA/UFSM
COLÉGIO POLITÉCNICO DE SANTA MARIA/UFSM,"Santa Maria, RS. CEP: 97105-900.",97105900,RS,Santa Maria,-29.6868,-53.8149,COLÉGIO POLITÉCNICO DE SANTA MARIA/UFSM
COLÉGIO TÉCNICO INDUSTRIAL SANTA MARIA/UFSM,"Santa Maria, RS. CEP: 97105-900.",97105900,RS,Santa Maria,-29.6868,-53.8149,COLÉGIO TÉCNICO INDUSTRIAL SANTA MARIA/UFSM
COLÉGIO TÉCNICO INDUSTRIAL SANTA MARIA/UFSM,"Santa Maria, RS. CEP: 97105-900.",97105900,RS,Santa Maria,-29.6868,-53.8149,COLÉGIO TÉCNICO INDUSTRIAL SANTA MARIA/UFSM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RONDONIA","Porto Velho, RO. CEP: 76821-001.",76821001,RO,Porto Velho,-8.76077,-63.8999,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RONDONIA"
CAMPUS ARIQUEMES,"Ariquemes, RO. CEP: 78930-000.",78930000,RO,Ariquemes,-9.90571,-63.0325,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RONDONIA"
CAMPUS AVANÇADO JARU,"Jaru, RO. CEP: 76890-000.",76890000,RO,Jaru,-10.4318,-62.4788,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RONDONIA"
CAMPUS CACOAL,"Cacoal, RO. CEP: 78976-055.",78976055,RO,Cacoal,-11.4343,-61.4562,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RONDONIA"
CAMPUS COLORADO DO OESTE,"Colorado do Oeste, RO. CEP: 76993-000.",76993000,RO,Colorado do Oeste,-13.1174,-60.5454,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RONDONIA"
CAMPUS GUAJARÁ-MIRIM,"Guajará-Mirim, RO. CEP: 76850-000.",76850000,RO,Guajará-Mirim,-10.7889,-65.3296,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RONDONIA"
CAMPUS JI-PARANÁ,"Ji-Paraná, RO. CEP: 78960-000.",78960000,RO,Ji-Paraná,-10.8777,-61.9322,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RONDONIA"
CAMPUS PORTO VELHO CALAMA,"Porto Velho, RO. CEP: 76820-441.",76820441,RO,Porto Velho,-8.76077,-63.8999,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RONDONIA"
CAMPUS PORTO VELHO ZONA NORTE,"Porto Velho, RO. CEP: 76821-064.",76821064,RO,Porto Velho,-8.76077,-63.8999,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RONDONIA"
CAMPUS VILHENA,"Vilhena, RO. CEP: 78995-000.",78995000,RO,Vilhena,-12.7502,-60.1488,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RONDONIA"
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RORAIMA","Boa Vista, RR. CEP: 69303-220.",69303220,RR,Boa Vista,2.82384,-60.6753,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RORAIMA"
CAMPUS AMAJARI,"Amajari, RR. CEP: 69343-000.",69343000,RR,Amajari,3.64571,-61.3692,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RORAIMA"
CAMPUS AVANÇADO BONFIM,"Bonfim, RR. CEP: 69380-000.",69380000,RR,Bonfim,3.36161,-59.8333,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RORAIMA"
CAMPUS BOA VISTA,"Boa Vista, RR. CEP: 69303-340.",69303340,RR,Boa Vista,2.82384,-60.6753,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RORAIMA"
CAMPUS BOA VISTA ZONA OESTE,"Boa Vista, RR. CEP: 69318-060.",69318060,RR,Boa Vista,2.82384,-60.6753,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RORAIMA"
CAMPUS NOVO PARAÍSO,"Caracaraí, RR. CEP: 69360-971.",69360971,RR,Caracaraí,1.82766,-61.1304,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RORAIMA"
ESCOLA AGROTÉCNICA/UFRR,"Boa Vista, RR. CEP: 69301-970.",69301970,RR,Boa Vista,2.82384,-60.6753,ESCOLA AGROTÉCNICA/UFRR
ESCOLA AGROTÉCNICA/UFRR,"Boa Vista, RR. CEP: 69301-970.",69301970,RR,Boa Vista,2.82384,-60.6753,ESCOLA AGROTÉCNICA/UFRR
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO","São Paulo, SP. CEP: 01109-010.",1109010,SP,São Paulo,-23.5329,-46.6395,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS ARARAQUARA,"Araraquara, SP. CEP: 14801-600.",14801600,SP,Araraquara,-21.7845,-48178,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS AVANÇADO ILHA SOLTEIRA,"Ilha Solteira, SP. CEP: 15385-000.",15385000,SP,Ilha Solteira,-20.4326,-51.3426,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS AVANÇADO JUNDIAÍ,"Jundiaí, SP. CEP: 13201-003.",13201003,SP,Jundiaí,-23.1852,-46.8974,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS AVANÇADO LIMEIRA,"Limeira, SP. CEP: 13480-520.",13480520,SP,Limeira,-22566,-47397,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS AVANÇADO MOCOCA,"Mococa, SP. CEP: 13734-660.",13734660,SP,Mococa,-21.4647,-47.0024,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS AVANÇADO PIRASSUNUNGA,"Pirassununga, SP. CEP: 13633-360.",13633360,SP,Pirassununga,-21996,-47.4257,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS AVANÇADO TUPÃ,"Tupã, SP. CEP: 17607-220.",17607220,SP,Tupã,-21.9335,-50.5191,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS AVARÉ,"Avaré, SP. CEP: 18707-150.",18707150,SP,Avaré,-23.1067,-48.9251,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS BARRETOS,"Barretos, SP. CEP: 14781-502.",14781502,SP,Barretos,-20.5531,-48.5698,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS BIRIGUI,"Birigui, SP. CEP: 16201-407.",16201407,SP,Birigui,-21291,-50.3432,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS BOITUVA,"Boituva, SP. CEP: 18550-000.",18550000,SP,Boituva,-23.2855,-47.6786,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS BRAGANÇA PAULISTA,"Bragança Paulista, SP. CEP: 12903-000.",12903000,SP,Bragança Paulista,-22.9527,-46.5419,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS CAMPINAS,"Campinas, SP. CEP: 13069-901.",13069901,SP,Campinas,-22.9053,-47.0659,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS CAMPOS DO JORDÃO,"Campos do Jordão, SP. CEP: 12460-000.",12460000,SP,Campos do Jordão,-22.7296,-45.5833,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS CAPIVARI,"Capivari, SP. CEP: 13360-000.",13360000,SP,Capivari,-22.9951,-47.5071,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS CARAGUATATUBA,"Caraguatatuba, SP. CEP: 11665-310.",11665310,SP,Caraguatatuba,-23.6125,-45.4125,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS CATANDUVA,"Catanduva, SP. CEP: 15808-305.",15808305,SP,Catanduva,-21.1314,-48977,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS CUBATÃO,"Cubatão, SP. CEP: 11533-160.",11533160,SP,Cubatão,-23.8911,-46424,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS GUARULHOS,"Guarulhos, SP. CEP: 07115-000.",7115000,SP,Guarulhos,-23.4538,-46.5333,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS HORTOLÂNDIA,"Hortolândia, SP. CEP: 13183-250.",13183250,SP,Hortolândia,-22.8529,-47.2143,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS ITAPETININGA,"Itapetininga, SP. CEP: 18202-000.",18202000,SP,Itapetininga,-23.5886,-48.0483,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS ITAQUAQUECETUBA,"Itaquaquecetuba, SP. CEP: 08571-050.",8571050,SP,Itaquaquecetuba,-23.4835,-46.3457,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS JACAREÍ,"Jacareí, SP. CEP: 12322-030.",12322030,SP,Jacareí,-23.2983,-45.9658,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS MATÃO,"Matão, SP. CEP: 15991-502.",15991502,SP,Matão,-21.6025,-48364,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS PIRACICABA,"Piracicaba, SP. CEP: 13414-155.",13414155,SP,Piracicaba,-22.7338,-47.6476,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS PRESIDENTE EPITÁCIO,"Presidente Epitácio, SP. CEP: 19470-000.",19470000,SP,Presidente Epitácio,-21.7651,-52.1111,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS REGISTRO,"Registro, SP. CEP: 11900-000.",11900000,SP,Registro,-24.4979,-47.8449,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
